Wavelength (nm), Intensity (a.u.)
520.920,2.6084e-04
520.930,2.6132e-04
520.940,2.6180e-04
520.950,2.6229e-04
520.960,2.6278e-04
520.970,2.6327e-04
520.980,2.6376e-04
520.990,2.6426e-04
521.000,2.6475e-04
521.010,2.6525e-04
521.020,2.6575e-04
521.030,2.6626e-04
521.040,2.6677e-04
521.050,2.6727e-04
521.060,2.6778e-04
521.070,2.6830e-04
521.080,2.6881e-04
521.090,2.6933e-04
521.100,2.6985e-04
521.110,2.7037e-04
521.120,2.7090e-04
521.130,2.7143e-04
521.140,2.7196e-04
521.150,2.7249e-04
521.160,2.7302e-04
521.170,2.7356e-04
521.180,2.7410e-04
521.190,2.7464e-04
521.200,2.7519e-04
521.210,2.7574e-04
521.220,2.7629e-04
521.230,2.7684e-04
521.240,2.7740e-04
521.250,2.7795e-04
521.260,2.7852e-04
521.270,2.7908e-04
521.280,2.7965e-04
521.290,2.8021e-04
521.300,2.8079e-04
521.310,2.8136e-04
521.320,2.8194e-04
521.330,2.8252e-04
521.340,2.8310e-04
521.350,2.8369e-04
521.360,2.8427e-04
521.370,2.8487e-04
521.380,2.8546e-04
521.390,2.8606e-04
521.400,2.8666e-04
521.410,2.8726e-04
521.420,2.8787e-04
521.430,2.8848e-04
521.440,2.8909e-04
521.450,2.8971e-04
521.460,2.9032e-04
521.470,2.9095e-04
521.480,2.9157e-04
521.490,2.9220e-04
521.500,2.9283e-04
521.510,2.9346e-04
521.520,2.9410e-04
521.530,2.9474e-04
521.540,2.9539e-04
521.550,2.9603e-04
521.560,2.9668e-04
521.570,2.9734e-04
521.580,2.9800e-04
521.590,2.9866e-04
521.600,2.9932e-04
521.610,2.9999e-04
521.620,3.0066e-04
521.630,3.0134e-04
521.640,3.0201e-04
521.650,3.0270e-04
521.660,3.0338e-04
521.670,3.0407e-04
521.680,3.0476e-04
521.690,3.0546e-04
521.700,3.0616e-04
521.710,3.0687e-04
521.720,3.0757e-04
521.730,3.0828e-04
521.740,3.0900e-04
521.750,3.0972e-04
521.760,3.1044e-04
521.770,3.1117e-04
521.780,3.1190e-04
521.790,3.1264e-04
521.800,3.1338e-04
521.810,3.1412e-04
521.820,3.1487e-04
521.830,3.1562e-04
521.840,3.1637e-04
521.850,3.1713e-04
521.860,3.1790e-04
521.870,3.1867e-04
521.880,3.1944e-04
521.890,3.2021e-04
521.900,3.2100e-04
521.910,3.2178e-04
521.920,3.2257e-04
521.930,3.2337e-04
521.940,3.2417e-04
521.950,3.2497e-04
521.960,3.2578e-04
521.970,3.2659e-04
521.980,3.2741e-04
521.990,3.2823e-04
522.000,3.2906e-04
522.010,3.2989e-04
522.020,3.3073e-04
522.030,3.3157e-04
522.040,3.3241e-04
522.050,3.3326e-04
522.060,3.3412e-04
522.070,3.3498e-04
522.080,3.3585e-04
522.090,3.3672e-04
522.100,3.3760e-04
522.110,3.3848e-04
522.120,3.3937e-04
522.130,3.4026e-04
522.140,3.4116e-04
522.150,3.4206e-04
522.160,3.4297e-04
522.170,3.4388e-04
522.180,3.4480e-04
522.190,3.4573e-04
522.200,3.4666e-04
522.210,3.4759e-04
522.220,3.4854e-04
522.230,3.4948e-04
522.240,3.5044e-04
522.250,3.5140e-04
522.260,3.5236e-04
522.270,3.5333e-04
522.280,3.5431e-04
522.290,3.5530e-04
522.300,3.5629e-04
522.310,3.5728e-04
522.320,3.5828e-04
522.330,3.5929e-04
522.340,3.6031e-04
522.350,3.6133e-04
522.360,3.6236e-04
522.370,3.6339e-04
522.380,3.6443e-04
522.390,3.6548e-04
522.400,3.6653e-04
522.410,3.6759e-04
522.420,3.6866e-04
522.430,3.6974e-04
522.440,3.7082e-04
522.450,3.7191e-04
522.460,3.7300e-04
522.470,3.7410e-04
522.480,3.7521e-04
522.490,3.7633e-04
522.500,3.7746e-04
522.510,3.7859e-04
522.520,3.7973e-04
522.530,3.8087e-04
522.540,3.8203e-04
522.550,3.8319e-04
522.560,3.8436e-04
522.570,3.8554e-04
522.580,3.8672e-04
522.590,3.8792e-04
522.600,3.8912e-04
522.610,3.9033e-04
522.620,3.9155e-04
522.630,3.9277e-04
522.640,3.9401e-04
522.650,3.9525e-04
522.660,3.9650e-04
522.670,3.9776e-04
522.680,3.9903e-04
522.690,4.0031e-04
522.700,4.0160e-04
522.710,4.0289e-04
522.720,4.0420e-04
522.730,4.0551e-04
522.740,4.0683e-04
522.750,4.0816e-04
522.760,4.0951e-04
522.770,4.1086e-04
522.780,4.1222e-04
522.790,4.1359e-04
522.800,4.1497e-04
522.810,4.1636e-04
522.820,4.1776e-04
522.830,4.1916e-04
522.840,4.2058e-04
522.850,4.2201e-04
522.860,4.2345e-04
522.870,4.2490e-04
522.880,4.2636e-04
522.890,4.2784e-04
522.900,4.2932e-04
522.910,4.3081e-04
522.920,4.3231e-04
522.930,4.3383e-04
522.940,4.3536e-04
522.950,4.3689e-04
522.960,4.3844e-04
522.970,4.4000e-04
522.980,4.4157e-04
522.990,4.4316e-04
523.000,4.4475e-04
523.010,4.4636e-04
523.020,4.4798e-04
523.030,4.4961e-04
523.040,4.5125e-04
523.050,4.5291e-04
523.060,4.5458e-04
523.070,4.5626e-04
523.080,4.5795e-04
523.090,4.5966e-04
523.100,4.6138e-04
523.110,4.6311e-04
523.120,4.6486e-04
523.130,4.6662e-04
523.140,4.6839e-04
523.150,4.7018e-04
523.160,4.7198e-04
523.170,4.7379e-04
523.180,4.7562e-04
523.190,4.7747e-04
523.200,4.7933e-04
523.210,4.8120e-04
523.220,4.8309e-04
523.230,4.8499e-04
523.240,4.8690e-04
523.250,4.8884e-04
523.260,4.9078e-04
523.270,4.9275e-04
523.280,4.9473e-04
523.290,4.9672e-04
523.300,4.9873e-04
523.310,5.0076e-04
523.320,5.0280e-04
523.330,5.0486e-04
523.340,5.0694e-04
523.350,5.0903e-04
523.360,5.1114e-04
523.370,5.1327e-04
523.380,5.1541e-04
523.390,5.1757e-04
523.400,5.1975e-04
523.410,5.2195e-04
523.420,5.2417e-04
523.430,5.2640e-04
523.440,5.2865e-04
523.450,5.3093e-04
523.460,5.3322e-04
523.470,5.3552e-04
523.480,5.3785e-04
523.490,5.4020e-04
523.500,5.4257e-04
523.510,5.4496e-04
523.520,5.4736e-04
523.530,5.4979e-04
523.540,5.5224e-04
523.550,5.5471e-04
523.560,5.5720e-04
523.570,5.5971e-04
523.580,5.6224e-04
523.590,5.6479e-04
523.600,5.6737e-04
523.610,5.6997e-04
523.620,5.7259e-04
523.630,5.7523e-04
523.640,5.7790e-04
523.650,5.8058e-04
523.660,5.8330e-04
523.670,5.8603e-04
523.680,5.8879e-04
523.690,5.9157e-04
523.700,5.9438e-04
523.710,5.9721e-04
523.720,6.0006e-04
523.730,6.0295e-04
523.740,6.0585e-04
523.750,6.0878e-04
523.760,6.1174e-04
523.770,6.1472e-04
523.780,6.1773e-04
523.790,6.2077e-04
523.800,6.2383e-04
523.810,6.2692e-04
523.820,6.3004e-04
523.830,6.3318e-04
523.840,6.3636e-04
523.850,6.3956e-04
523.860,6.4279e-04
523.870,6.4605e-04
523.880,6.4933e-04
523.890,6.5265e-04
523.900,6.5600e-04
523.910,6.5937e-04
523.920,6.6278e-04
523.930,6.6622e-04
523.940,6.6969e-04
523.950,6.7319e-04
523.960,6.7672e-04
523.970,6.8028e-04
523.980,6.8388e-04
523.990,6.8750e-04
524.000,6.9117e-04
524.010,6.9486e-04
524.020,6.9859e-04
524.030,7.0235e-04
524.040,7.0614e-04
524.050,7.0997e-04
524.060,7.1384e-04
524.070,7.1773e-04
524.080,7.2167e-04
524.090,7.2564e-04
524.100,7.2965e-04
524.110,7.3369e-04
524.120,7.3777e-04
524.130,7.4189e-04
524.140,7.4604e-04
524.150,7.5023e-04
524.160,7.5446e-04
524.170,7.5873e-04
524.180,7.6304e-04
524.190,7.6739e-04
524.200,7.7177e-04
524.210,7.7620e-04
524.220,7.8067e-04
524.230,7.8517e-04
524.240,7.8972e-04
524.250,7.9431e-04
524.260,7.9894e-04
524.270,8.0361e-04
524.280,8.0833e-04
524.290,8.1309e-04
524.300,8.1789e-04
524.310,8.2273e-04
524.320,8.2762e-04
524.330,8.3255e-04
524.340,8.3752e-04
524.350,8.4255e-04
524.360,8.4761e-04
524.370,8.5272e-04
524.380,8.5788e-04
524.390,8.6308e-04
524.400,8.6833e-04
524.410,8.7362e-04
524.420,8.7896e-04
524.430,8.8435e-04
524.440,8.8979e-04
524.450,8.9527e-04
524.460,9.0080e-04
524.470,9.0638e-04
524.480,9.1201e-04
524.490,9.1769e-04
524.500,9.2342e-04
524.510,9.2919e-04
524.520,9.3502e-04
524.530,9.4089e-04
524.540,9.4682e-04
524.550,9.5279e-04
524.560,9.5882e-04
524.570,9.6489e-04
524.580,9.7102e-04
524.590,9.7720e-04
524.600,9.8343e-04
524.610,9.8970e-04
524.620,9.9604e-04
524.630,1.0024e-03
524.640,1.0088e-03
524.650,1.0153e-03
524.660,1.0219e-03
524.670,1.0285e-03
524.680,1.0351e-03
524.690,1.0418e-03
524.700,1.0485e-03
524.710,1.0553e-03
524.720,1.0622e-03
524.730,1.0691e-03
524.740,1.0760e-03
524.750,1.0830e-03
524.760,1.0901e-03
524.770,1.0972e-03
524.780,1.1043e-03
524.790,1.1115e-03
524.800,1.1188e-03
524.810,1.1261e-03
524.820,1.1334e-03
524.830,1.1408e-03
524.840,1.1483e-03
524.850,1.1557e-03
524.860,1.1633e-03
524.870,1.1709e-03
524.880,1.1785e-03
524.890,1.1862e-03
524.900,1.1939e-03
524.910,1.2017e-03
524.920,1.2095e-03
524.930,1.2174e-03
524.940,1.2253e-03
524.950,1.2332e-03
524.960,1.2412e-03
524.970,1.2492e-03
524.980,1.2573e-03
524.990,1.2654e-03
525.000,1.2735e-03
525.010,1.2817e-03
525.020,1.2899e-03
525.030,1.2981e-03
525.040,1.3064e-03
525.050,1.3147e-03
525.060,1.3230e-03
525.070,1.3314e-03
525.080,1.3397e-03
525.090,1.3481e-03
525.100,1.3566e-03
525.110,1.3650e-03
525.120,1.3735e-03
525.130,1.3820e-03
525.140,1.3905e-03
525.150,1.3990e-03
525.160,1.4075e-03
525.170,1.4160e-03
525.180,1.4246e-03
525.190,1.4331e-03
525.200,1.4417e-03
525.210,1.4502e-03
525.220,1.4587e-03
525.230,1.4673e-03
525.240,1.4758e-03
525.250,1.4843e-03
525.260,1.4928e-03
525.270,1.5013e-03
525.280,1.5098e-03
525.290,1.5183e-03
525.300,1.5267e-03
525.310,1.5351e-03
525.320,1.5435e-03
525.330,1.5518e-03
525.340,1.5601e-03
525.350,1.5684e-03
525.360,1.5766e-03
525.370,1.5847e-03
525.380,1.5929e-03
525.390,1.6009e-03
525.400,1.6089e-03
525.410,1.6169e-03
525.420,1.6248e-03
525.430,1.6326e-03
525.440,1.6403e-03
525.450,1.6480e-03
525.460,1.6556e-03
525.470,1.6631e-03
525.480,1.6705e-03
525.490,1.6778e-03
525.500,1.6851e-03
525.510,1.6922e-03
525.520,1.6993e-03
525.530,1.7062e-03
525.540,1.7130e-03
525.550,1.7197e-03
525.560,1.7263e-03
525.570,1.7328e-03
525.580,1.7391e-03
525.590,1.7454e-03
525.600,1.7514e-03
525.610,1.7574e-03
525.620,1.7632e-03
525.630,1.7689e-03
525.640,1.7744e-03
525.650,1.7798e-03
525.660,1.7850e-03
525.670,1.7901e-03
525.680,1.7950e-03
525.690,1.7997e-03
525.700,1.8043e-03
525.710,1.8087e-03
525.720,1.8129e-03
525.730,1.8170e-03
525.740,1.8209e-03
525.750,1.8246e-03
525.760,1.8281e-03
525.770,1.8314e-03
525.780,1.8346e-03
525.790,1.8375e-03
525.800,1.8403e-03
525.810,1.8429e-03
525.820,1.8452e-03
525.830,1.8474e-03
525.840,1.8494e-03
525.850,1.8512e-03
525.860,1.8528e-03
525.870,1.8541e-03
525.880,1.8553e-03
525.890,1.8563e-03
525.900,1.8571e-03
525.910,1.8576e-03
525.920,1.8580e-03
525.930,1.8582e-03
525.940,1.8581e-03
525.950,1.8579e-03
525.960,1.8574e-03
525.970,1.8568e-03
525.980,1.8559e-03
525.990,1.8548e-03
526.000,1.8536e-03
526.010,1.8521e-03
526.020,1.8505e-03
526.030,1.8486e-03
526.040,1.8466e-03
526.050,1.8443e-03
526.060,1.8419e-03
526.070,1.8393e-03
526.080,1.8364e-03
526.090,1.8335e-03
526.100,1.8303e-03
526.110,1.8269e-03
526.120,1.8234e-03
526.130,1.8197e-03
526.140,1.8158e-03
526.150,1.8117e-03
526.160,1.8075e-03
526.170,1.8031e-03
526.180,1.7986e-03
526.190,1.7939e-03
526.200,1.7891e-03
526.210,1.7841e-03
526.220,1.7789e-03
526.230,1.7736e-03
526.240,1.7682e-03
526.250,1.7626e-03
526.260,1.7569e-03
526.270,1.7511e-03
526.280,1.7452e-03
526.290,1.7391e-03
526.300,1.7329e-03
526.310,1.7266e-03
526.320,1.7202e-03
526.330,1.7137e-03
526.340,1.7071e-03
526.350,1.7004e-03
526.360,1.6936e-03
526.370,1.6867e-03
526.380,1.6797e-03
526.390,1.6726e-03
526.400,1.6655e-03
526.410,1.6583e-03
526.420,1.6510e-03
526.430,1.6436e-03
526.440,1.6362e-03
526.450,1.6287e-03
526.460,1.6212e-03
526.470,1.6136e-03
526.480,1.6059e-03
526.490,1.5982e-03
526.500,1.5905e-03
526.510,1.5827e-03
526.520,1.5749e-03
526.530,1.5671e-03
526.540,1.5592e-03
526.550,1.5513e-03
526.560,1.5434e-03
526.570,1.5354e-03
526.580,1.5275e-03
526.590,1.5195e-03
526.600,1.5115e-03
526.610,1.5035e-03
526.620,1.4955e-03
526.630,1.4875e-03
526.640,1.4795e-03
526.650,1.4715e-03
526.660,1.4634e-03
526.670,1.4554e-03
526.680,1.4474e-03
526.690,1.4394e-03
526.700,1.4315e-03
526.710,1.4235e-03
526.720,1.4155e-03
526.730,1.4076e-03
526.740,1.3997e-03
526.750,1.3918e-03
526.760,1.3839e-03
526.770,1.3761e-03
526.780,1.3682e-03
526.790,1.3604e-03
526.800,1.3527e-03
526.810,1.3449e-03
526.820,1.3372e-03
526.830,1.3296e-03
526.840,1.3219e-03
526.850,1.3143e-03
526.860,1.3068e-03
526.870,1.2992e-03
526.880,1.2917e-03
526.890,1.2843e-03
526.900,1.2769e-03
526.910,1.2695e-03
526.920,1.2622e-03
526.930,1.2549e-03
526.940,1.2477e-03
526.950,1.2405e-03
526.960,1.2333e-03
526.970,1.2262e-03
526.980,1.2192e-03
526.990,1.2122e-03
527.000,1.2052e-03
527.010,1.1983e-03
527.020,1.1915e-03
527.030,1.1846e-03
527.040,1.1779e-03
527.050,1.1712e-03
527.060,1.1645e-03
527.070,1.1579e-03
527.080,1.1513e-03
527.090,1.1448e-03
527.100,1.1384e-03
527.110,1.1320e-03
527.120,1.1256e-03
527.130,1.1193e-03
527.140,1.1130e-03
527.150,1.1068e-03
527.160,1.1007e-03
527.170,1.0946e-03
527.180,1.0885e-03
527.190,1.0825e-03
527.200,1.0766e-03
527.210,1.0707e-03
527.220,1.0649e-03
527.230,1.0591e-03
527.240,1.0533e-03
527.250,1.0477e-03
527.260,1.0420e-03
527.270,1.0364e-03
527.280,1.0309e-03
527.290,1.0254e-03
527.300,1.0200e-03
527.310,1.0146e-03
527.320,1.0093e-03
527.330,1.0040e-03
527.340,9.9878e-04
527.350,9.9360e-04
527.360,9.8847e-04
527.370,9.8339e-04
527.380,9.7836e-04
527.390,9.7337e-04
527.400,9.6844e-04
527.410,9.6355e-04
527.420,9.5871e-04
527.430,9.5391e-04
527.440,9.4917e-04
527.450,9.4447e-04
527.460,9.3982e-04
527.470,9.3521e-04
527.480,9.3065e-04
527.490,9.2614e-04
527.500,9.2167e-04
527.510,9.1724e-04
527.520,9.1286e-04
